name,learning_rate,hidden_channels,num_layers,lambda_ke,best_val_loss
lr3e-04_hc64_nl3,0.0003,64,3,1.0,0.017837644953812872
lr1e-04_hc64_nl3,0.0001,64,3,1.0,0.02100957291466849
lr1e-03_hc64_nl2,0.001,64,2,1.0,0.025940203773123876
lr3e-04_hc64_nl2,0.0003,64,2,1.0,0.027373424598148892
lr1e-03_hc64_nl3,0.001,64,3,1.0,0.027835710772446225
lr1e-04_hc64_nl2,0.0001,64,2,1.0,0.031135039936218942
lr1e-04_hc128_nl2,0.0001,128,2,1.0,0.21370482657636916
lr3e-04_hc128_nl2,0.0003,128,2,1.0,0.21999383398464747
lr1e-04_hc128_nl3,0.0001,128,3,1.0,0.24331826610224588
lr3e-04_hc128_nl3,0.0003,128,3,1.0,0.24331826610224588
lr1e-03_hc128_nl2,0.001,128,2,1.0,0.24331826610224588
lr1e-03_hc128_nl3,0.001,128,3,1.0,0.24331826610224588
